,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?,DEBUG_LOG
0,2022.3.15.0,2022.3.15,11,หน่วยงานของรัฐสภา,สถาบันพระปกเกล้า,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายบุคลากร,,,,,2022,"171,271,200",False,
1,2022.3.15.1,2022.3.15,11,หน่วยงานของรัฐสภา,สถาบันพระปกเกล้า,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายดำเนินงาน,,,,,2022,"13,164,000",False,
2,2022.3.15.2,2022.3.15,13,หน่วยงานของรัฐสภา,สถาบันพระปกเกล้า,False,แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,การสร้างองค์ความรู้ในการพัฒนาประชาธิปไตย,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายดำเนินงาน,,,,,2022,"273,442,500",False,
3,2022.3.15.3,2022.3.15,13,หน่วยงานของรัฐสภา,สถาบันพระปกเกล้า,False,แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,การสร้างองค์ความรู้ในการพัฒนาประชาธิปไตย,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าครุภัณฑ์,ค่าที่ดิน/สิ่งก่อสร้าง,,,,2022,"19,786,800",False,"NO BULLET FOUND/ LEVEL NOT MATCH level: by x position 4, by pattern 3/ [['1.', 'งบเงินอุดหนุน', '308,074,700', '77,403,600', 'บาท'], ['1.1', 'เงินอุดหนุนทั่วไป', '308,074,700', '77,403,600', 'UIn'], ['2)', 'ค่าครุภัณฑ์', '14,845,400', '9,625,500', 'บาท'], ['ค่าที่ดิน/สิ่งก่อสร้าง', '19,786,800', '17,901,500', 'บาท']]"
4,2022.3.15.4,2022.3.15,15,หน่วยงานของรัฐสภา,สถาบันพระปกเกล้า,False,แผนงานยุทธศาสตร์พัฒนาและเสริมสร้างการเมืองในระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข,การสร้างองค์ความรู้ความเข้าใจ และตระหนักถึง การทำหน้าที่พลเมืองที่ดีตามวิถีระบอบ ประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายดำเนินงาน,,,,,2022,"26,384,600",False,
5,2022.3.15.5,2022.3.15,24,หน่วยงานของรัฐสภา,สำนักงานเลขาธิการวุฒิสภา,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายบุคลากร,,,,,2022,"1,012,937,400",False,
6,2022.3.15.6,2022.3.15,24,หน่วยงานของรัฐสภา,สำนักงานเลขาธิการวุฒิสภา,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายดำเนินงาน,,,,,2022,"485,172,300",False,
7,2022.3.15.7,2022.3.15,26,หน่วยงานของรัฐสภา,สำนักงานเลขาธิการวุฒิสภา,False,แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,การพัฒนาองค์กรเพื่อให้งานด้านนิติบัญญัติเป็นไป เพื่อประโยชน์สาธารณะ,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายดำเนินงาน ๆ ข,,,,ค่าเช่ารถยนต์นั่งส่วนกลาง 4 คัน,2020,"885,600",True,
8,2022.3.15.8,2022.3.15,26,หน่วยงานของรัฐสภา,สำนักงานเลขาธิการวุฒิสภา,False,แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,การพัฒนาองค์กรเพื่อให้งานด้านนิติบัญญัติเป็นไป เพื่อประโยชน์สาธารณะ,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายดำเนินงาน ๆ ข,,,,ค่าเช่ารถยนต์นั่งส่วนกลาง 4 คัน,2021,"885,600",True,
9,2022.3.15.9,2022.3.15,26,หน่วยงานของรัฐสภา,สำนักงานเลขาธิการวุฒิสภา,False,แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,การพัฒนาองค์กรเพื่อให้งานด้านนิติบัญญัติเป็นไป เพื่อประโยชน์สาธารณะ,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายดำเนินงาน ๆ ข,,,,ค่าเช่ารถยนต์นั่งส่วนกลาง 4 คัน,2022,"655,200",True,
